found_folder,file_name,chainid,lastupdatedate,subchainid,storeid,bikoretno,storetype,chainname,subchainname,storename,address,city,zipcode
,,,,,342,,,,,דיל כרמיאל- קניון לב,מורד הגיא 100,כרמיאל,2192401
,,,,7,362,,,,שופרסל אקספרס,אקספרס קרןהיסוד ירושלים,קרן היסוד 27,ירושלים,
,,,,,372,,,,,אקספרס בת ים- חשמונאים,החשמונאים 41,בת ים,
,,,,,377,,,,,אקספרס ירושלים- הדסה,בית חולים הדסה,ירושלים,
,,,,1,284,,,,שופרסל שלי,שלי תל מונד- הדקל,הדקל 49,תל מונד,4060049
,,,,2,290,,,,שופרסל דיל,"דיל  פ""ת- יכין סנטר",יצחק רבין 17,פתח-תקווה,4951711
,,,,5,660,,,,Be,סניף רמת השרון,סוקולוב 74,רמת השרון,
,,,,,662,,,,,BE בית חולים אשדוד,"בי""ח אסותא אשדוד",אשדוד,
,,,,,665,,,,,BE חשמונאים,החשמונאים 84 פינת קרליבך,תל אביב,
,,,,,682,,,,,BE כפר סבא צפון,כפר סבא צפון,כפר סבא צפון,
,,,,,697,,,,,BE  ירכא,ירכא,ירכא,
,,,,,776,,,,,BE טירה,טארק עבדאלחי,טירה,
,,,,7,779,,,,שופרסל אקספרס,אקספרס יבנה,דרך ז'בוטינסקי,יבנה,
,,,,,780,,,,,אקספרס המעפיל רמת גן,המעפיל,רמת גן,0
,,,,5,781,,,,Be,"BE פרישמן ת""א",דיזינגוף 102,תל אביב,
,,,,,783,7,1,,,BE מודיעין,גינת זבולון 24,מודיעין,
,,,,,785,,,,,BE מעלה אדומים,,מעלה אדומים,
,,,,7,845,,,,שופרסל אקספרס,אקספרס נחשון כפר סבא,נחשון 10,כפר סבא,
,,,,1,33,,,,שופרסל שלי,שלי חיפה- סטלה,טשרניחובסקי/35,חיפה,3570323
,,,,2,45,,,,שופרסל דיל,דיל ירושלים- תלפיות,פייר קניג 35,ירושלים,9346943
,,,,,98,,,,,דיל קרית טבעון- אלונים,חוצות אלונים,טבעון,3604701
,,,,1,102,,,,שופרסל שלי,שלי פרדסיה- הנשיא,הנשיא 1 צ.פרדסיה,פרדסיה,4281500
,,,,,109,,,,,שלי ראש העין- ז'בוטינסקי,גבעת טל,ראש העין,4857301
,,,,2,180,,,,שופרסל דיל,דיל ק.מוצקין- בן גוריון,שד' בן גוריון 84,קרית מוצקין,2642439
,,,,,222,,,,,"דיל רמות ב""ש ב'",הערים התאומות 28,באר שבע,
,,,,,260,,,,,דיל ירושלים-קניון תלפיות,האומן 17,ירושלים,9342111
,,,,6,610,,,,יש חסד,יש חסד ירושלים- רמת שלמה,ברכת אברהם 22,,
,,,,5,652,,,,Be,BE מודיעין,מודיעין,מודיעין,
,,,,,653,,,,,BE בני-ברק,בני-ברק,בני-ברק,
,,,,,658,,,,,BE קריית אתא,קריית אתא,קריית אתא,
,,,,18,789,,,,יש Good,גוד מרקט אופקים,,,
,,,,5,270,,,,Be,BE חולון הפלד,חולון הפלד 270,חולון,
,,,,1,272,,,,שופרסל שלי,שלי גבעתיים- ויצמן,ויצמן 20,גבעתיים,5339005
,,,,2,139,,,,שופרסל דיל,דיל צפת-  דובק ויצמן,,צפת,1321736
,,,,,141,,,,,דיל יוקנעם- שדרות רבין,שדרות רבין 9,יקנעם,2060000
,,,,,142,,,,,דיל זכרון- המייסדים,המייסדים,זכרון יעקב,3095067
,,,,7,148,,,,שופרסל אקספרס,אקספרס מלצר רחובות,מלצר 20,רחובות,
,,,,2,151,,,,שופרסל דיל,דיל רעננה- קניון רננים,רח.המלאכה 2,רעננה,4366101
,,,,,159,,,,,דיל רמת הנשיא חיפה,שלמה המלך 55,חיפה,
,,,,1,168,,,,שופרסל שלי,שלי אשדוד- כינרת,"שכונת י""א כנרת",אשדוד,7770071
,,,,2,174,,,,שופרסל דיל,דיל ערד- קניון,הקנאים 29,ערד,8902342
,,,,3,176,,,,שערי רווחה,שערי רווחה ירושלים,לואיס ברנדס 3,ירושלים,
,,,,5,178,,,,Be,BE סגולה פתח תקווה,הרב מסעוד אשר פינטו 20,פתח תקווה,
,,,,7,179,,,,שופרסל אקספרס,"שופרסל אקספרס הרוא""ה רמת גן","רח' הרוא""ה 152",רמת גן,
,,,,2,189,,,,שופרסל דיל,דיל פרדס חנה,14 רחוב הבנים,פרדס חנה,
,,,,,190,,,,,דיל חצור- הגלילית,קניון גליל עליון,חצור-הגלילית,1030000
,,,,,199,,,,,דיל בת ים- בלפור,בלפור 25,בת ים,0
,,,,7,231,,,,שופרסל אקספרס,אקספרס רעננה- רבקה גרובר,רבקה גובר  7,רעננה,
,,,,,239,,,,,אקספרס יפו- הדרור,הדרור 2,תל אביב,
,,,,1,247,,,,שופרסל שלי,שלי חולון- רבינוביץ,רבינוביץ 58,חולון,5867256
,,,,2,255,,,,שופרסל דיל,דיל כפר תבור,4 רחוב הבזלת,כפר תבור,
,,,,5,256,,,,Be,BE נס ציונה,הפטיש,נס ציונה,
,,,,1,266,,,,שופרסל שלי,שלי רזין אילת,רח' שדרות התמרים 37,אילת,
,,,,7,277,,,,שופרסל אקספרס,אקספרס.בני בנימין הרצליה,בני בנימין 23,הרצליה,
,,,,,279,,,,,"אקספרס-ת""א דרויאנוב",רח' דרויאנוב 5,תל אביב,
,,,,,285,,,,,"אקספרס סוקולוב פ""ת",סוקולוב 26,פתח תקווה,
,,,,1,287,,,,שופרסל שלי,שלי גבעתיים-שביט,עמישב 45,גבעתיים,5348832
